id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
44177174,*HYGIENE CERTIFICATED* 1+1 FLAT IN MASLAK,69089629,Metin,,Sisli,41.11962,29.00987,Entire home/apt,1341,1,1,2020-07-22,0.07,24,365,0,
44177256,Standard Double Room 100 Meters To Taksim Square,352665715,Birhat,,Beyoglu,41.03975,28.98286,Private room,312,1,11,2020-12-21,0.75,6,362,9,
44177421,Standard Double Room 100 Meters to Taksim Square,352665715,Birhat,,Beyoglu,41.0397,28.9837,Private room,312,1,2,2021-04-07,0.32,6,362,2,
44177531,1+1 FLAT IN HYGIENE CERTIFICATED RESIDENCE,69089629,Metin,,Sisli,41.11868,29.01054,Entire home/apt,1650,1,0,,,24,365,0,
44177541,Ground Floor Standard Triple Room Near the Square,352665715,Birhat,,Beyoglu,41.03775,28.98223,Private room,377,1,6,2020-11-19,0.42,6,362,3,
44177998,Triple Room with Terrace 100 Meters to TSquare,352665715,Birhat,,Beyoglu,41.03777,28.98346,Private room,429,1,10,2021-01-17,0.75,6,348,6,
44178023,Pretty Basement Suit (3) 250mt From Taksim Square,14875223,Murat,,Beyoglu,41.03716,28.98175,Entire home/apt,272,1,42,2021-01-01,2.91,24,180,27,
44178660,Kadikoy Merkez de 1+1 Kiralık Daire,351479693,Yeliz,,Kadikoy,40.98839,29.03284,Entire home/apt,210,1,30,2021-07-03,2.03,10,335,29,
44179467,"Cute flat, panoromic İstanbul wiew in Üsküdar",355767268,Eren,,Uskudar,41.01147,29.01407,Entire home/apt,380,2,7,2020-07-24,1.72,1,329,5,
44180601,The best of the Bosphorus & comfortable apartment,13520466,Bedirhan,,Besiktas,41.04775,29.02362,Entire home/apt,696,2,36,2021-08-04,2.50,6,351,31,
44183419,10 minutes home to the airport,355845494,Yasmen,,Kartal,40.89934,29.24493,Entire home/apt,371,1,2,2021-06-28,0.57,2,59,2,
44185944,4.LEVENT 1 MUNITE FROM SUWBAY,355872501,Kaan,,Besiktas,41.08654,29.0074,Private room,79,7,0,,,1,335,0,
44186866,Muhteşem lokasyon cadde üzeri Kadıköy Feneryolunda,353288916,Tuğberk,,Kadikoy,40.98431,29.05096,Entire home/apt,221,1,68,2021-09-23,4.63,1,347,55,
44189061,best point,348318278,Rosso,,Beyoglu,41.03533,28.98238,Private room,266,1,5,2021-09-06,0.35,8,358,3,
44189584,My places,143963658,Eda,,Tuzla,40.86617,29.31839,Entire home/apt,254,1,2,2021-07-03,0.17,2,358,2,
44189846,Room near to galatatower,328330551,Fuat,,Beyoglu,41.02458,28.97382,Private room,329,1,4,2021-02-26,0.35,13,365,4,
44191335,"Minimal boho, Taksim",276006775,Ali,,Beyoglu,41.03821,28.97574,Entire home/apt,414,2,1,2020-12-21,0.11,2,32,1,
44192717,Modern Suites with kitchen **200mt to Galata Tower,122178666,Çağrı,,Beyoglu,41.02552,28.97237,Entire home/apt,619,2,0,,,4,1,0,
44192732,LUXURIOUS 2+1 FLAT SWIMMING POOL AND FITNESS,69089629,Metin,,Sisli,41.11828,29.01049,Entire home/apt,2063,1,1,2021-09-18,1,24,365,1,
44192852,2+1 FLAT ENJOY THE LUXURIOUS LIFESTYLE,69089629,Metin,,Sisli,41.11993,29.0099,Entire home/apt,1960,1,0,,,24,365,0,
44193581,Large Sunny room in very center of Kadıköy,260973563,Ibrahim Halil,,Kadikoy,40.99859,29.02837,Private room,100,1,13,2021-09-28,0.88,2,338,8,
44200979,Large room in central Kadıköy,260973563,Ibrahim Halil,,Kadikoy,40.99867,29.0297,Private room,89,1,14,2020-11-07,0.96,2,334,4,
44201295,Magnificent Sea view studio flat,210894433,Ozgul,,Kartal,40.88286,29.21065,Entire home/apt,311,4,0,,,1,360,0,
44201990,Boğaz Manzaralı ev,355994451,C,,Uskudar,41.04178,29.04659,Private room,464,1,0,,,1,180,0,
44203146,Ortaköy - Beşiktaş 2+1,356112674,Emre,,Besiktas,41.05173,29.02474,Entire home/apt,220,15,11,2021-09-09,0.76,1,323,10,
44204252,Gar Suit Hotel,240829379,Gökhan,,Esenyurt,41.04299,28.66069,Entire home/apt,167,365,3,2020-08-15,0.21,26,365,0,
44205355,"Siz gelin, gerisi kolay :)",315560037,Ali,,Kadikoy,40.99313,29.0491,Private room,90,1,0,,,1,71,0,
44208476,Superior room with balcony,306577213,Yazıcı Residence,,Beyoglu,41.03208,28.97803,Entire home/apt,711,1,0,,,7,347,0,
44208814,"doublex apartment, downtown",356182518,Mustafa,,Sisli,41.07206,28.99832,Entire home/apt,711,1,1,2020-07-26,0.07,1,365,0,
44208822,Deluxe room 2,306577213,Yazıcı Residence,,Beyoglu,41.03241,28.97807,Entire home/apt,533,1,5,2021-02-27,0.47,7,67,5,
